StationID,Year,AverageTemp_Fall,AverageTemp_Spring,AverageTemp_Summer,AverageTemp_Winter,MaxTemp_Fall,MaxTemp_Spring,MaxTemp_Summer,MaxTemp_Winter,MinTemp_Fall,MinTemp_Spring,MinTemp_Summer,MinTemp_Winter
99999900177,2019,71.57,68.84,84.12,54.24,88.3,83.2,101.6,69.6,37.5,36.8,72.8,38.0
99999900177,2020,73.17,72.66,86.47,56.81,89.3,84.5,92.7,74.1,48.0,55.8,78.4,42.2
99999900177,2021,71.33,71.71,83.34,57.3,87.6,88.8,88.8,75.5,51.8,54.9,74.0,20.3
99999900177,2022,73.13,72.51,87.92,54.27,93.2,95.0,94.6,75.7,46.2,42.1,78.3,32.4
99999900177,2023,75.7,73.75,89.91,58.95,91.8,74.8,94.1,74.2,47.9,72.7,82.2,37.1
99999900177,2024,70.14,74.15,83.96,57.24,80.9,92.4,88.1,74.5,45.1,55.0,75.4,28.4
99999900177,2025,59.29,70.02,75.025,53.34,78.25,80.9,81.44999999999999,75.3,31.450000000000003,52.9,65.05000000000001,29.8
99999900179,2015,48.44,42.93,66.09,16.25,75.6,70.3,74.8,38.0,17.8,-5.7,54.7,-8.7
99999900179,2016,47.85,44.64,66.7,18.59,68.8,70.0,75.9,38.5,20.0,14.4,55.8,-13.2
99999900179,2017,44.49,41.82,65.21,18.08,73.3,62.9,77.5,45.9,10.0,6.2,54.3,-16.7
99999900179,2018,39.39,40.32,66.12,14.48,75.3,75.9,76.0,34.5,4.6,14.9,54.8,-10.1
99999900179,2019,42.81,37.37,66.18,10.27,73.7,70.8,76.8,32.4,5.7,-10.1,54.2,-27.7
99999900179,2020,42.59,41.18,68.51,17.25,66.7,67.9,80.5,36.7,16.5,20.9,58.9,-12.2
99999900179,2021,47.16,43.97,70.14,14.96,71.4,73.6,82.2,36.6,13.6,14.0,54.5,-16.6
99999900179,2022,45.01,38.57,67.57,8.62,72.8,67.8,84.7,31.6,15.1,3.7,55.6,-20.1
99999900179,2023,45.46,39.43,68.09,20.21,79.2,72.1,80.3,42.2,12.4,8.7,57.6,-11.5
99999900179,2024,48.35,43.52,66.59,21.49,73.7,67.1,78.8,40.9,4.3,18.7,47.8,-9.2
99999900179,2025,50.045,37.67,67.575,12.01,75.95,59.5,78.44999999999999,30.7,10.3,22.8,51.849999999999994,-17.3
99999900180,2015,51.74,46.25,68.56,20.76,78.2,69.9,78.1,43.4,16.3,1.8,55.9,-7.2
99999900180,2016,51.73,48.26,70.02,21.78,72.9,71.7,80.9,41.4,26.8,19.8,59.6,-9.9
99999900180,2017,48.75,45.39,68.04,23.38,79.1,66.6,80.8,51.8,15.3,13.9,58.0,-9.6
99999900180,2018,44.62,43.88,70.09,19.09,78.2,82.3,84.4,35.9,14.8,17.3,59.1,-7.2
99999900180,2019,46.69,41.69,66.56,18.84,74.4,70.7,75.4,36.9,10.9,-3.2,56.4,-8.2
99999900180,2020,45.72,45.14,70.28,21.3,70.8,70.6,80.6,39.1,22.2,24.4,57.2,-4.0
99999900180,2021,49.66,46.78,71.22,18.17,72.1,73.9,83.1,42.6,21.6,17.4,56.7,-13.2
99999900180,2022,47.76,42.26,69.65,13.67,75.3,73.3,86.3,34.0,17.4,9.3,58.2,-9.5
99999900180,2023,49.74,43.82,69.62,24.81,81.2,72.2,84.8,49.6,14.8,14.6,57.0,-6.4
99999900180,2024,50.8,46.76,67.68,25.17,73.8,69.1,79.6,44.8,12.6,22.2,57.1,-3.6
99999900180,2025,58.214999999999996,38.75,72.86500000000001,15.59,79.6,58.5,83.94999999999999,44.0,23.35,18.6,49.150000000000006,-11.9
99999900209,2015,65.63,61.35,78.05,44.19,85.4,75.2,88.3,67.0,34.1,26.9,41.2,22.7
99999900210,2015,58.81,55.89,71.47,37.87,73.2,78.8,79.5,63.9,32.1,24.0,62.4,6.8
99999900210,2016,59.87,56.965,75.33,38.13,85.8,76.65,85.2,56.7,33.0,24.35,63.6,14.8
99999900210,2017,58.18,58.04,72.47,43.53,74.7,74.5,80.2,61.6,36.1,24.7,63.1,12.4
99999900210,2018,58.72,55.79,73.78,41.62,83.0,77.0,81.5,66.1,25.4,31.2,64.6,12.3
99999900210,2019,60.27,57.88,73.05,43.38,78.6,75.9,85.6,64.2,27.0,28.8,60.1,17.2
99999900210,2020,59.44,57.02,73.52,41.87,77.2,74.4,80.2,73.7,37.5,37.6,59.9,18.1
99999900210,2021,57.01,56.12,73.72,42.03,73.5,74.5,82.4,62.4,29.4,34.8,64.9,25.4
99999900210,2022,56.78,57.9,73.85,39.77,76.2,74.5,81.8,64.3,30.5,25.1,63.7,2.4
99999900210,2023,59.72,56.27,72.01,44.92,75.2,70.6,79.7,66.0,35.5,31.0,56.9,28.5
99999900210,2024,59.59,58.48,73.95,40.63,73.8,72.4,81.2,61.5,26.6,37.3,61.8,14.9
99999900210,2025,60.565,48.49,76.17500000000001,36.65,78.69999999999999,67.6,83.85,60.0,30.150000000000002,33.4,61.95,12.9
99999900234,2015,61.54,58.98,78.4,38.95,83.6,76.9,86.5,67.4,33.7,20.8,62.1,14.8
99999900234,2016,64.27,60.76,80.14,39.86,81.6,77.1,87.7,65.9,37.7,39.6,72.9,19.0
99999900234,2017,62.31,61.39,78.01,45.49,81.8,79.1,87.6,66.1,37.7,30.8,69.7,17.2
99999900234,2018,59.48,60.32,80.08,42.9,83.7,84.0,87.7,61.7,29.8,38.1,70.1,31.2
99999900234,2019,60.88,57.93,78.4,41.44,81.2,81.1,92.7,61.8,24.1,22.7,66.1,23.2
99999900234,2020,60.41,60.05,79.58,41.61,79.0,79.9,86.4,59.8,39.9,42.0,70.5,23.4
99999900234,2021,61.8,60.2,79.64,40.6,78.3,81.1,91.1,67.3,34.9,40.9,64.2,6.2
99999900234,2022,60.03,60.49,80.54,37.94,82.9,82.5,89.3,60.9,32.5,28.2,71.4,3.0
99999900234,2023,61.75,61.12,78.43,45.77,79.6,81.1,87.4,64.5,35.9,32.2,69.3,23.5
99999900234,2024,62.94,64.22,78.82,42.24,79.2,78.9,86.2,68.5,32.5,41.8,69.0,6.9
99999900234,2025,58.765,58.79,74.335,36.35,79.9,75.3,83.30000000000001,58.6,25.0,39.5,61.95,14.2
99999900236,2015,54.59,48.77,69.85,24.18,80.6,73.5,80.4,55.1,17.5,8.8,54.9,-2.9
99999900236,2016,55.79,49.56,72.04,25.35,80.4,74.0,81.6,52.0,26.4,17.3,59.6,-2.5
99999900236,2017,52.64,48.18,69.45,27.87,79.3,75.4,83.6,56.8,20.3,18.0,57.1,-1.7
99999900236,2018,48.39,46.54,71.54,25.55,77.9,81.1,84.8,45.9,22.4,24.0,62.4,-5.4
99999900236,2019,49.56,45.6,69.82,23.6,75.2,72.8,83.0,47.9,12.3,0.0,57.5,-17.3
99999900236,2020,50.55,47.57,72.52,27.0,70.2,77.5,83.5,42.0,31.9,29.3,58.6,0.0
99999900236,2021,53.33,49.97,72.99,24.08,74.2,76.6,85.6,54.7,21.3,24.1,59.4,-5.6
99999900236,2022,51.24,47.31,70.99,21.2,75.5,82.9,85.4,43.7,18.6,12.8,56.8,-7.2
99999900236,2023,53.06,48.27,71.46,31.35,81.5,75.3,88.3,52.0,17.8,17.4,53.8,-5.0
99999900236,2024,53.81,50.94,71.14,29.27,75.1,71.8,86.9,59.2,16.5,28.4,59.5,-3.3
99999900236,2025,51.565,43.0,68.75999999999999,22.0,76.55,59.7,81.30000000000001,45.0,17.2,23.1,56.4,-4.9
99999900237,2015,49.32,43.56,66.38,18.71,78.0,66.9,75.7,40.0,17.9,-3.7,53.3,-8.3
99999900237,2016,49.6,44.9,66.95,21.16,70.7,70.0,79.3,38.5,23.1,14.4,55.3,-9.9
99999900237,2017,46.36,42.57,64.97,20.39,77.7,62.9,76.8,46.8,10.2,10.3,54.6,-14.0
99999900237,2018,39.6,41.58,67.4,16.85,75.6,76.4,79.1,35.1,10.8,15.6,49.6,-10.3
99999900237,2019,44.47,39.51,65.95,14.04,72.9,66.6,75.8,35.8,7.9,-6.0,54.0,-23.6
99999900237,2020,43.53,42.8,68.59,19.88,66.8,69.1,80.4,36.5,19.5,23.5,55.1,-6.0
99999900237,2021,47.93,44.89,69.35,16.69,70.7,72.7,81.9,41.1,19.1,16.9,48.6,-19.0
99999900237,2022,46.22,40.46,67.01,11.37,74.0,72.8,84.1,33.0,15.9,4.4,56.0,-14.4
99999900237,2023,51.65,41.44,67.15,23.24,79.0,72.2,79.4,46.7,25.2,11.1,55.5,-10.3
99999900237,2024,49.46,45.1,66.97,23.82,75.1,71.3,79.8,45.4,13.3,20.4,56.1,-7.5
