StationID,Year,Season,AverageTemp,MaxTemp,MinTemp
99999900170,2020,Summer,69.69,80.60,39.60
99999900170,2020,Winter,27.62,44.60,8.50
99999900170,2021,Fall,41.05,61.30,21.60
99999900170,2021,Spring,41.44,61.70,25.70
99999900170,2021,Summer,73.04,84.50,52.50
99999900170,2021,Winter,27.97,40.20,7.20
99999900170,2022,Fall,44.90,90.80,16.60
99999900170,2022,Spring,45.25,68.80,17.80
99999900170,2022,Summer,69.71,90.10,49.40
99999900170,2022,Winter,25.87,40.90,0.00
99999900170,2023,Fall,46.91,68.80,18.00
99999900170,2023,Spring,47.22,69.80,16.50
99999900170,2023,Summer,68.45,82.80,50.40
99999900170,2023,Winter,26.86,45.00,-0.70
99999900170,2024,Fall,46.05,80.20,16.50
99999900170,2024,Spring,46.30,74.80,28.70
99999900170,2024,Summer,71.03,82.60,50.30
99999900170,2024,Winter,31.97,45.90,12.50
99999900170,2025,Spring,35.25,39.50,25.60
99999900170,2025,Winter,28.15,50.50,12.70
99999900177,2015,Fall,72.94,87.00,44.40
99999900177,2015,Spring,68.13,80.90,39.30
99999900177,2015,Summer,82.89,88.00,75.00
99999900177,2015,Winter,52.05,72.00,34.20
99999900177,2016,Fall,73.46,84.90,48.10
99999900177,2016,Spring,69.91,83.50,51.20
99999900177,2016,Summer,83.00,88.80,70.90
99999900177,2016,Winter,55.07,74.20,35.00
99999900177,2017,Fall,71.22,85.20,50.50
99999900177,2017,Spring,71.12,85.30,55.20
99999900177,2017,Summer,84.07,89.70,76.10
99999900177,2017,Winter,57.40,73.80,30.50
99999900177,2018,Fall,67.49,85.90,38.40
99999900177,2018,Spring,71.05,83.50,51.70
99999900177,2018,Summer,84.73,91.50,77.40
99999900177,2018,Winter,52.97,72.20,28.80
99999900177,2019,Fall,71.57,88.30,37.50
99999900177,2019,Spring,68.84,83.20,36.80
99999900177,2019,Summer,84.12,101.60,72.80
99999900177,2019,Winter,54.24,69.60,38.00
99999900177,2020,Fall,73.17,89.30,48.00
99999900177,2020,Spring,72.66,84.50,55.80
99999900177,2020,Summer,86.47,92.70,78.40
99999900177,2020,Winter,56.81,74.10,42.20
99999900177,2021,Fall,71.33,87.60,51.80
99999900177,2021,Spring,71.71,88.80,54.90
99999900177,2021,Summer,83.34,88.80,74.00
99999900177,2021,Winter,57.30,75.50,20.30
99999900177,2022,Fall,73.13,93.20,46.20
99999900177,2022,Spring,72.51,95.00,42.10
99999900177,2022,Summer,87.92,94.60,78.30
99999900177,2022,Winter,54.27,75.70,32.40
99999900177,2023,Fall,75.70,91.80,47.90
99999900177,2023,Spring,73.75,74.80,72.70
99999900177,2023,Summer,89.91,94.10,82.20
99999900177,2023,Winter,58.95,74.20,37.10
99999900177,2024,Fall,70.14,80.90,45.10
99999900177,2024,Spring,74.15,92.40,55.00
99999900177,2024,Summer,83.96,88.10,75.40
99999900177,2024,Winter,57.24,74.50,28.40
99999900177,2025,Spring,70.02,80.90,52.90
99999900177,2025,Winter,53.34,75.30,29.80
99999900179,2015,Fall,48.44,75.60,17.80
99999900179,2015,Spring,42.93,70.30,-5.70
99999900179,2015,Summer,66.09,74.80,54.70
99999900179,2015,Winter,16.25,38.00,-8.70
99999900179,2016,Fall,47.85,68.80,20.00
99999900179,2016,Spring,44.64,70.00,14.40
99999900179,2016,Summer,66.70,75.90,55.80
99999900179,2016,Winter,18.59,38.50,-13.20
99999900179,2017,Fall,44.49,73.30,10.00
99999900179,2017,Spring,41.82,62.90,6.20
99999900179,2017,Summer,65.21,77.50,54.30
99999900179,2017,Winter,18.08,45.90,-16.70
99999900179,2018,Fall,39.39,75.30,4.60
99999900179,2018,Spring,40.32,75.90,14.90
99999900179,2018,Summer,66.12,76.00,54.80
99999900179,2018,Winter,14.48,34.50,-10.10
99999900179,2019,Fall,42.81,73.70,5.70
99999900179,2019,Spring,37.37,70.80,-10.10
99999900179,2019,Summer,66.18,76.80,54.20
99999900179,2019,Winter,10.27,32.40,-27.70
99999900179,2020,Fall,42.59,66.70,16.50
